date,ship_cap
2019-01-06,1692044.0
2019-01-13,2032538.0
2019-01-20,2037507.0
2019-01-27,2032424.0
2019-02-03,2055851.0
2019-02-10,1932959.0
2019-02-17,1892674.0
2019-02-24,1742513.0
2019-03-03,1724176.0
2019-03-10,1884894.0
2019-03-17,1951550.0
2019-03-24,1792103.0
2019-03-31,1983478.0
2019-04-07,1904449.0
2019-04-14,2014592.0
2019-04-21,1925334.0
2019-04-28,1986513.0
2019-05-05,1824835.0
2019-05-12,1886913.0
2019-05-19,1934664.0
2019-05-26,2032392.0
2019-06-02,2046936.0
2019-06-09,1974014.0
2019-06-16,1921300.0
2019-06-23,1888427.0
2019-06-30,2027045.0
2019-07-07,1859079.0
2019-07-14,2114114.0
2019-07-21,2131721.0
2019-07-28,1915464.0
2019-08-04,1894808.0
2019-08-11,1973795.0
2019-08-18,2005709.0
2019-08-25,2082273.0
2019-09-01,1986985.0
2019-09-08,1608609.0
2019-09-15,2094440.0
2019-09-22,2094648.0
2019-09-29,2108606.0
2019-10-06,2076075.0
2019-10-13,1957289.0
2019-10-20,2102434.0
2019-10-27,1962006.0
2019-11-03,1886159.0
2019-11-10,1907137.0
2019-11-17,1864393.0
2019-11-24,1893874.0
2019-12-01,1904519.0
2019-12-08,1928751.0
2019-12-15,1842818.0
2019-12-22,2046054.0
2019-12-29,1701219.0
2020-01-05,1846962.0
2020-01-12,2060635.0
2020-01-19,1726622.0
2020-01-26,1975668.0
2020-02-02,1982584.0
2020-02-09,1930942.0
2020-02-16,1824640.0
2020-02-23,1729841.0
2020-03-01,1707373.0
2020-03-08,1664186.0
2020-03-15,1611995.0
2020-03-22,1720497.0
2020-03-29,1771148.0
2020-04-05,1752317.0
2020-04-12,1798195.0
2020-04-19,1814010.0
2020-04-26,1961827.0
2020-05-03,1913128.0
2020-05-10,1710579.0
2020-05-17,1724744.0
2020-05-24,1833320.0
2020-05-31,1680332.0
2020-06-07,1685373.0
2020-06-14,1731403.0
2020-06-21,1774736.0
2020-06-28,1748649.0
2020-07-05,1763706.0
2020-07-12,1931629.0
2020-07-19,1947494.0
2020-07-26,1956656.0
2020-08-02,1972377.0
2020-08-09,2020070.0
2020-08-16,2153650.0
2020-08-23,2043129.0
2020-08-30,1948239.0
2020-09-06,2098002.0
2020-09-13,2027536.0
2020-09-20,1965348.0
2020-09-27,1981289.0
2020-10-04,1990145.0
2020-10-11,2068793.0
2020-10-18,2158111.0
2020-10-25,2155855.0
2020-11-01,1944326.0
2020-11-08,2051185.0
2020-11-15,2082711.0
2020-11-22,2052032.0
2020-11-29,2014524.0
2020-12-06,2176506.0
2020-12-13,2083775.0
2020-12-20,2019378.0
2020-12-27,1614465.0
2021-01-03,1738173.0
2021-01-10,2050499.0
2021-01-17,1996856.0
2021-01-24,1846095.0
2021-01-31,1908325.0
2021-02-07,1719159.0
2021-02-14,1822158.0
2021-02-21,1912258.0
2021-02-28,1721729.0
2021-03-07,1987401.0
2021-03-14,1966718.0
2021-03-21,1995739.0
2021-03-28,1962910.0
2021-04-04,1885168.0
2021-04-11,2089462.0
2021-04-18,1852837.0
2021-04-25,1906009.0
2021-05-02,1869496.0
2021-05-09,1794719.0
2021-05-16,1928305.0
2021-05-23,1982824.0
2021-05-30,1794227.0
2021-06-06,2012951.0
2021-06-13,1905716.0
2021-06-20,1827198.0
2021-06-27,1896223.0
2021-07-04,1806053.0
2021-07-11,1869762.0
2021-07-19,1834819.0
2021-07-25,1875205.0
2021-08-01,1959160.0
2021-08-08,1929809.0
2021-08-15,1902643.0
2021-08-23,1833497.0
2021-08-29,1754641.0
2021-09-05,1521418.0
2021-09-12,1751272.0
2021-09-19,1827118.0
2021-09-26,1680253.0
2021-10-03,1847496.0
2021-10-10,1772806.0
2021-10-17,1597843.0
2021-10-24,1702527.0
2021-10-31,1632495.0
2021-11-07,1771718.0
2021-11-14,1822254.0
2021-11-21,1774309.0
2021-11-28,1639645.0
2021-12-05,1760446.0
2021-12-12,1761610.0
2021-12-19,1810111.0
2021-12-26,1418853.0
2022-01-02,1315079.0
2022-01-09,1660730.0
