date,ships_anchored,brent_price,bpi,ship_cap,corn_price,gscpi,Gulf,PNW,trade_vol,ships_waiting,wheat_price,bpi_volatility,brent_price_trend,brent_price_seasonal,bpi_trend,bpi_seasonal
2021-08-02,62.0,75.578,3361.4,1959160.0,551.2716666666666,2.957723452210348,81.0,44.0,99.9268535914027,64.0,700.9783333333334,58.2983032268289,73.03821153846154,1.5043798513750424,3038.168269230769,-55.41182841161245
2021-08-09,59.0,71.40799999999999,3398.0,1929809.0,552.0833333333334,2.957723452210348,81.0,43.0,99.9268535914027,60.0,717.4983333333333,43.57795516920469,73.71571153846155,1.3463330738282664,3041.804807692307,-13.351371680843146
2021-08-16,74.0,71.178,3538.4,1902643.0,562.8533333333334,2.957723452210348,79.0,43.0,99.9268535914027,75.0,747.75,32.78904082621685,74.39155769230769,1.6050399345351247,3047.162499999999,47.84454178069529
2021-08-23,62.0,67.878,3734.4,1833497.0,546.9783333333334,2.957723452210348,79.0,43.0,99.9268535914027,62.0,724.4566666666666,57.45906914332979,75.05144230769231,1.2457597890049799,3051.345192307692,71.82867639607994
2021-08-30,68.0,71.5025,3879.0,1754641.0,549.9783333333334,2.957723452210348,81.5,44.0,99.9268535914027,73.0,722.985,38.553229587852954,75.70042307692309,1.2859183129135043,3056.4221153846142,79.43071966531072
2021-09-06,77.0,72.9,3657.0,1521418.0,519.6,3.3135323929804574,82.0,44.5,99.0724112274212,88.0,721.094,78.23890995842649,76.54042307692308,1.2226459636411542,3066.779807692307,26.652835049926068
2021-09-13,95.0,72.122,3553.6,1751272.0,501.2083333333333,3.3135323929804574,82.25,44.75,99.0724112274212,100.0,697.5033333333334,61.37786633519313,77.53315384615385,0.6669947162399088,3080.78173076923,8.67218601146448
2021-09-20,86.0,74.252,3845.6,1827118.0,523.5833333333334,3.3135323929804574,80.25,44.25,99.0724112274212,103.0,706.7033333333334,76.3188467184352,78.46667307692309,0.3248990821442746,3089.518269230768,60.51245043454132
2021-09-27,93.0,76.372,3983.4,1680253.0,527.1033333333334,3.3135323929804574,81.5,45.0,99.0724112274212,118.0,714.0166666666668,31.158926519088332,79.48913461538461,0.33871509046028203,3095.0918269230765,103.71952174864397
2021-10-04,89.0,78.962,4006.6,1847496.0,538.25,3.387179675669188,82.5,45.5,100.221159836092,116.0,735.6700000000001,17.829011546812914,80.50778846153845,0.6606159287986214,3105.70064102564,147.8186875873192
2021-10-11,83.0,82.474,3889.6,1772806.0,532.9383333333334,3.387179675669188,84.25,46.5,100.221159836092,105.0,737.945,30.566878162739265,81.33265384615386,0.09555756274025588,3117.4493589743583,198.50368758731918
